Albbruck-Dogern;Rheinkraftwerk Albbruck-Dogern AG / RWE Vertrieb AG;BW;79774;Albbruck;108,9;;1933 / 2009;LWK;Wasser
Altbach/Deizisau GT A-C, E;EnBW Kraftwerke AG;BW;73776;Altbach;305,0;;1971-1997;GT;Erdgas
Altbach/Deizisau HKW 1;EnBW Kraftwerke AG;BW;73776;Altbach;476,0;280,0;1985 (2006);HKW;Steinkohle
Altbach/Deizisau HKW 2;EnBW Kraftwerke AG;BW;73776;Altbach;379,0;280,0;1997 (2012);HKW (DT);Steinkohle
Amrumbank West;E.ON Climate & Renewables Central Europe GmbH;Offshore;;Nordsee;302,0;;2015;WEA;Wind (O)
Arkona;E.ON Climate & Renewables Central Europe GmbH / Equinor;Offshore;;Ostsee;387,0;;2019;WEA;Wind (O)
Arneburg;SachsenFonds GmbH & Co. KG;ST;39596;Arneburg;118,5;;2001;WEA;Wind (L)
Arneburg;Zellstoff Stendal GmbH;ST;39596;Arneburg;147,0;600,0;2004 / 2013;HKW;Biomasse
Bad Langensalza;EEV Erneuerbare Energien / Thüga Erneuerbare Energien;TH;99869;Wangenheim;108,0;;2000-2012;WEA;Wind (L)
Baltic II (Kriegers Flak I);EnBW Baltic 2 GmbH & Co. KG;Offshore;;Ostsee;288,0;;2015;WEA;Wind (O)
BARD Offshore;Offshore Wind Solutions GmbH (OWS);Offshore;;Nordsee;400,0;;2012 / 2013;WEA;Wind (O)
Bergkamen A;Steag GmbH;NW;59192;Bergkamen;780,0;20,0;1981;DKW;Steinkohle
Berlin-Charlottenburg 4 bis 6;Vattenfall Europe GmbH;BE;10589;Berlin;214,0;300,0;1976 (2000);GT;Erdgas
Berlin-Klingenberg;Vattenfall Europe GmbH;BE;10317;Berlin;188,0;590,0;1982 (2017);HKW;Erdgas
Berlin-Lichterfelde 1;Vattenfall Europe GmbH;BE;12207;Berlin;150,0;240,0;1972 (1998);HKW;Erdgas
Berlin-Mitte HKW GT 1;Vattenfall Europe GmbH;BE;10179;Berlin;178,0;1210,0;1997;HKW / GuD;Erdgas
Berlin-Mitte HKW GT 2;Vattenfall Europe GmbH;BE;10179;Berlin;178,0;;1997;HKW / GuD;Erdgas
Berlin-Mitte HKW DT;Vattenfall Europe GmbH;BE;10179;Berlin;112,0;;1997;HKW / GuD;Erdgas
Berlin-Moabit A;Vattenfall Europe GmbH;BE;13353;Berlin;100,0;136,0;1969 (1990);HKW;Steinkohle
Berlin-Reuter C;Vattenfall Europe GmbH;BE;13599;Berlin;132,0;244,0;1969;HKW;Steinkohle
Berlin-Reuter-West D;Vattenfall Europe GmbH;BE;13599;Berlin;300,0;363,0;1987;HKW;Steinkohle
Berlin-Reuter-West E;Vattenfall Europe GmbH;BE;13599;Berlin;300,0;363,0;1988;HKW;Steinkohle
Berlin-Wilmersdorf 1 bis 3;Vattenfall Europe GmbH;BE;14199;Berlin;280,0;330,0;1977;HKW;HEL
Bernburg;Solvay Chemicals GmbH;ST;06406;Bernburg;155,0;232,0;1994;IKW / GuD;Erdgas
Bexbach;Steag Power Saar GmbH;SL;66450;Bexbach;780,0;;1983;DKW;Steinkohle
Biere / Borne;WPD AG;ST;39221;Biere;108,9;;2002-2012;WEA;Wind (L)
Bitterfeld Chemiepark;envia THERM GmbH;ST;06749;Bitterfeld;114,0;110,0;1976 (2000);IKW / GuD;Erdgas
Bonn-Nord;Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH;NW;53115;Bonn;100,0;180,0;1999 / 2013;GuD;Erdgas
Borkum Riffgrund I;Ørsted Wind Power Germany GmbH;Offshore;;Nordsee;312,0;;2015;WEA;Wind (O)
Borkum West;Trianel Windkraftwerk Borkum GmbH;Offshore;;Nordsee;200,0;;2015;WEA;Wind (O)
Boxberg N;Lausitz Energie Kraftwerke AG (LEAG);SN;02943;Boxberg;500,0;60,0;1979 (1993);DKW;Braunkohle
Boxberg P;Lausitz Energie Kraftwerke AG (LEAG);SN;02943;Boxberg;500,0;;1980 (1994);DKW;Braunkohle
Boxberg Q;Lausitz Energie Kraftwerke AG (LEAG);SN;02943;Boxberg;907,0;65,0;2000;DKW;Braunkohle
Boxberg R;Lausitz Energie Kraftwerke AG (LEAG);SN;02943;Boxberg;675,0;;2012;DKW;Braunkohle
Braunau-Simbach / Inn;Grenzkraftwerke GmbH;BY;84359;Simbach am Inn;101,3;;1953;LWK;Wasser
Braunschweig-Mitte;Braunschweiger Versorgungs AG;NI;38106 ;Braunschweig;183,2;385,7;1986 / 2011;HKW / GuD;Erdgas, Steinkohle
Bremen-Farge;Engie Deutschland AG;HB;28777;Bremen;397,0;26,0;1969 (2007);DKW;Steinkohle
Bremen-Hafen 6, (Elfi);swb Erzeugung GmbH;HB;28237;Bremen;315,0;39,0;1979;DKW;Steinkohle
Bremen-Hastedt 15;swb Erzeugung GmbH;HB;28207;Bremen;130,0;150,0;1989;HKW;Steinkohle
Bremen-Mittelsbüren 4;swb Erzeugung GmbH;HB;28237;Bremen;160,0;;1975 (2002);DKW;Gichtgas
Bremen-Mittelsbüren (GKB);swb Erzeugung GmbH;HB;28237;Bremen;460,0;;2016;GuD;Erdgas
Brokdorf (KBR);E.ON Kernkraft GmbH;SH;25576;Brokdorf;1480,0;;1986;DWR;Uran
Burghausen;Kraftwerk Burghausen GmbH;BY;84489;Burghausen;178,0;350,0;1977 / 2001;HKW / GuD;Erdgas
Buschhaus (Helmstedt);Helmstedter Revier GmbH (MIBRAG);NI;38350;Helmstedt;405,0;;1985;DKW;Braunkohle
Butendiek;WPD AG;Offshore;;Nordsee;288,0;;2015;WEA;Wind (O)
